epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,4343.74,1.44274,0.94788,0.91446,0.83358,0.65881,0.72614,0.52419,1.43081,0.90572,0.92629,0.000291119,0.000291119,0.000291119
104,4386.16,1.45577,0.95142,0.91776,0.81799,0.66129,0.72301,0.52763,1.41317,0.89931,0.9234,0.000288208,0.000288208,0.000288208
105,4427.64,1.46752,0.9571,0.912,0.81315,0.65422,0.72136,0.51567,1.42141,0.91001,0.92544,0.000285298,0.000285298,0.000285298
106,4468.04,1.45626,0.96195,0.9153,0.80152,0.66381,0.72152,0.52468,1.41128,0.90416,0.92395,0.000282387,0.000282387,0.000282387
107,4508.33,1.47774,0.96941,0.91138,0.83415,0.65922,0.72334,0.52906,1.42084,0.90462,0.92435,0.000279476,0.000279476,0.000279476
108,4551.18,1.46182,0.95873,0.91535,0.8382,0.66155,0.73192,0.53485,1.40556,0.88618,0.91972,0.000276566,0.000276566,0.000276566
109,4592.24,1.47569,0.9593,0.91277,0.81167,0.65765,0.71954,0.51511,1.42234,0.91213,0.92422,0.000273655,0.000273655,0.000273655
110,4632.42,1.44171,0.94481,0.91348,0.83469,0.65183,0.72794,0.53327,1.39801,0.88678,0.91913,0.000270745,0.000270745,0.000270745
111,4672.51,1.44622,0.93606,0.91365,0.81498,0.66758,0.73196,0.53198,1.4125,0.89396,0.92259,0.000267834,0.000267834,0.000267834
112,4714.63,1.4465,0.93317,0.91178,0.80732,0.67909,0.73093,0.52828,1.4145,0.88175,0.92132,0.000264923,0.000264923,0.000264923
113,4755.54,1.41836,0.9375,0.90955,0.79864,0.6663,0.72657,0.53534,1.39093,0.88506,0.91896,0.000262013,0.000262013,0.000262013
114,4795.61,1.44582,0.94552,0.91505,0.82397,0.65719,0.72774,0.53631,1.4049,0.87987,0.92215,0.000259102,0.000259102,0.000259102
115,4836.03,1.45678,0.94434,0.91368,0.84333,0.67192,0.73272,0.5284,1.4091,0.8835,0.92224,0.000256192,0.000256192,0.000256192
116,4878.47,1.44655,0.93727,0.91223,0.81444,0.67401,0.73932,0.52876,1.42649,0.88655,0.92396,0.000253281,0.000253281,0.000253281
117,4918.89,1.43201,0.92409,0.90686,0.83659,0.65881,0.72798,0.53407,1.39532,0.87708,0.91919,0.00025037,0.00025037,0.00025037
118,4959.11,1.45455,0.93583,0.91331,0.7955,0.66993,0.73681,0.53003,1.41028,0.88549,0.92204,0.00024746,0.00024746,0.00024746
119,5000.18,1.43858,0.92891,0.91034,0.8175,0.66471,0.73281,0.53451,1.39688,0.88322,0.91812,0.000244549,0.000244549,0.000244549
120,5042.83,1.43935,0.93173,0.90946,0.84409,0.658,0.73634,0.54051,1.39972,0.86526,0.91837,0.000241639,0.000241639,0.000241639
121,5084,1.43417,0.92659,0.90537,0.81376,0.65715,0.73475,0.53396,1.41199,0.87386,0.91986,0.000238728,0.000238728,0.000238728
122,5124.09,1.42031,0.92019,0.9085,0.82764,0.67301,0.74408,0.54184,1.4031,0.86522,0.91957,0.000235817,0.000235817,0.000235817
123,5165.74,1.44463,0.93344,0.91159,0.81497,0.67578,0.73527,0.53549,1.40558,0.87693,0.92006,0.000232907,0.000232907,0.000232907
124,5207.2,1.41987,0.91433,0.90453,0.80922,0.676,0.74114,0.53899,1.40516,0.86645,0.92133,0.000229996,0.000229996,0.000229996
125,5247.32,1.41603,0.91938,0.90645,0.7929,0.68449,0.73713,0.54524,1.38025,0.85761,0.9149,0.000227086,0.000227086,0.000227086
126,5287.77,1.43258,0.90732,0.90661,0.82532,0.68305,0.74175,0.53319,1.4242,0.87256,0.92168,0.000224175,0.000224175,0.000224175
127,5329.3,1.40902,0.90896,0.90119,0.84014,0.66416,0.74506,0.54009,1.37417,0.85717,0.91428,0.000221264,0.000221264,0.000221264
128,5371.11,1.41083,0.91047,0.90363,0.79258,0.68535,0.74039,0.54491,1.36938,0.85561,0.91297,0.000218354,0.000218354,0.000218354
129,5411.87,1.41415,0.9117,0.90045,0.84428,0.66376,0.74048,0.5364,1.40447,0.85952,0.9173,0.000215443,0.000215443,0.000215443
130,5452.02,1.42829,0.9163,0.90602,0.8268,0.67202,0.7411,0.54322,1.37526,0.85619,0.91169,0.000212533,0.000212533,0.000212533
131,5493.62,1.43607,0.91946,0.90752,0.85129,0.66525,0.74051,0.54094,1.40207,0.86975,0.91871,0.000209622,0.000209622,0.000209622
132,5535.46,1.42265,0.90345,0.90459,0.83435,0.66762,0.74522,0.54495,1.3643,0.84518,0.91159,0.000206711,0.000206711,0.000206711
133,5575.57,1.41597,0.89333,0.90169,0.82712,0.67564,0.73579,0.54174,1.37585,0.84217,0.91254,0.000203801,0.000203801,0.000203801
134,5616.38,1.42496,0.91169,0.90513,0.84271,0.67535,0.74958,0.55185,1.3636,0.84962,0.91127,0.00020089,0.00020089,0.00020089
135,5658.16,1.40268,0.88627,0.9035,0.85228,0.67472,0.74868,0.54897,1.37786,0.83946,0.91373,0.00019798,0.00019798,0.00019798
136,5699.8,1.40848,0.89851,0.9046,0.84495,0.67756,0.74446,0.54241,1.37849,0.84703,0.91426,0.000195069,0.000195069,0.000195069
137,5739.94,1.4121,0.89201,0.90949,0.83816,0.67761,0.74607,0.54153,1.37426,0.85439,0.91373,0.000192158,0.000192158,0.000192158
138,5780.39,1.40744,0.89507,0.90348,0.84137,0.68369,0.75514,0.55559,1.37518,0.83978,0.91241,0.000189248,0.000189248,0.000189248
139,5822.1,1.41681,0.90272,0.90333,0.82821,0.67905,0.74493,0.54047,1.39049,0.84482,0.9164,0.000186337,0.000186337,0.000186337
140,5863.83,1.39421,0.88492,0.90142,0.82136,0.68986,0.74955,0.55187,1.36649,0.83767,0.9107,0.000183427,0.000183427,0.000183427
141,5903.72,1.40863,0.88601,0.90573,0.83364,0.686,0.75446,0.55484,1.35296,0.83325,0.90996,0.000180516,0.000180516,0.000180516
142,5943.63,1.40612,0.88994,0.90244,0.86057,0.66581,0.75257,0.55215,1.36296,0.83198,0.91212,0.000177605,0.000177605,0.000177605
143,5985.93,1.40364,0.89004,0.90453,0.82773,0.69063,0.75181,0.55272,1.3667,0.83657,0.91099,0.000174695,0.000174695,0.000174695
144,6026.55,1.3968,0.88171,0.8995,0.83705,0.68045,0.75502,0.5476,1.39594,0.84078,0.91566,0.000171784,0.000171784,0.000171784
145,6067.06,1.40315,0.88766,0.90182,0.84939,0.67998,0.75561,0.55927,1.36459,0.83086,0.91046,0.000168874,0.000168874,0.000168874
146,6107.68,1.40278,0.88481,0.90131,0.84625,0.68675,0.75279,0.55754,1.35423,0.83087,0.90815,0.000165963,0.000165963,0.000165963
147,6149.53,1.39467,0.88544,0.89534,0.86209,0.67689,0.75809,0.56088,1.34998,0.82487,0.90841,0.000163052,0.000163052,0.000163052
148,6190.03,1.39144,0.87529,0.90008,0.82508,0.69006,0.75276,0.556,1.35882,0.8311,0.90989,0.000160142,0.000160142,0.000160142
149,6229.86,1.37455,0.86919,0.89695,0.81328,0.68795,0.75515,0.55773,1.34862,0.82207,0.90817,0.000157231,0.000157231,0.000157231
150,6271.13,1.40106,0.88066,0.90291,0.83208,0.69047,0.76127,0.56269,1.34791,0.81858,0.90843,0.000154321,0.000154321,0.000154321
151,6314.3,1.39836,0.87763,0.8962,0.85187,0.67992,0.75481,0.55477,1.35989,0.82501,0.91028,0.00015141,0.00015141,0.00015141
152,6353.75,1.37641,0.87328,0.90269,0.8569,0.68144,0.76129,0.56151,1.35985,0.8212,0.90928,0.000148499,0.000148499,0.000148499
153,6393.93,1.36593,0.85824,0.89873,0.83089,0.69344,0.76125,0.55976,1.3612,0.81847,0.90975,0.000145589,0.000145589,0.000145589
154,6434.96,1.38152,0.87549,0.9,0.84036,0.68853,0.76068,0.56067,1.34524,0.8195,0.90776,0.000142678,0.000142678,0.000142678
155,6477.21,1.37376,0.86298,0.89737,0.87566,0.67692,0.76104,0.56354,1.35336,0.81683,0.9084,0.000139768,0.000139768,0.000139768
156,6517.86,1.41189,0.88277,0.89925,0.8422,0.68947,0.76049,0.56425,1.34053,0.81086,0.90689,0.000136857,0.000136857,0.000136857
157,6558.76,1.36733,0.85593,0.89921,0.84705,0.69934,0.76102,0.56112,1.35128,0.81282,0.90749,0.000133946,0.000133946,0.000133946
158,6599.73,1.36933,0.866,0.89455,0.85403,0.68465,0.759,0.5577,1.35695,0.81327,0.90851,0.000131036,0.000131036,0.000131036
159,6642.74,1.37344,0.86126,0.89341,0.85155,0.69869,0.76123,0.55973,1.3519,0.81449,0.90873,0.000128125,0.000128125,0.000128125
160,6682.93,1.37042,0.85186,0.8972,0.84554,0.6975,0.76529,0.5685,1.34347,0.80947,0.90666,0.000125215,0.000125215,0.000125215
161,6722.76,1.34862,0.85213,0.89423,0.81759,0.70518,0.76635,0.56839,1.33279,0.80907,0.90513,0.000122304,0.000122304,0.000122304
162,6763.83,1.38321,0.87021,0.89721,0.84936,0.69939,0.76563,0.56841,1.33437,0.8047,0.90451,0.000119393,0.000119393,0.000119393
163,6806.55,1.34557,0.84187,0.89505,0.84978,0.69271,0.76703,0.56073,1.35559,0.81215,0.90756,0.000116483,0.000116483,0.000116483
164,6846.79,1.36497,0.8528,0.89694,0.86364,0.69417,0.76399,0.56637,1.34431,0.81026,0.90652,0.000113572,0.000113572,0.000113572
165,6887.2,1.36479,0.85087,0.89377,0.84726,0.70555,0.76697,0.56874,1.33915,0.80554,0.90565,0.000110662,0.000110662,0.000110662
166,6929.4,1.36594,0.85991,0.89265,0.85329,0.69892,0.76517,0.5718,1.33029,0.80634,0.90363,0.000107751,0.000107751,0.000107751
167,6971.01,1.36522,0.84828,0.89863,0.8529,0.69013,0.76164,0.56537,1.34076,0.80931,0.90563,0.00010484,0.00010484,0.00010484
168,7011.03,1.37949,0.86066,0.89556,0.81897,0.70202,0.76364,0.56565,1.3492,0.80926,0.90693,0.00010193,0.00010193,0.00010193
